"yyyymm","f","frn.ese","frn.ose","ftp.ese","ftp.ose"
197112,6.4154,4.3254929118236,4.81749919119127,1.62469121554517,1.59754280846035
197203,6.3363,4.36783052622801,4.77973404484325,1.79703837209187,1.53720097971869
197206,6.2956,4.38801564838149,4.89529309698257,1.71886267469733,1.38709339419405
197209,6.4852,4.54134785246241,4.91941691239115,1.78281349701468,1.55606887966814
197212,6.3732,4.70404627996357,5.44890482284468,1.55643931505006,0.931916012306735
197303,6.4991,4.99630039103201,5.64225602576062,1.56670842813608,0.808504785002263
197306,6.5617,5.07509827211522,5.58548390099874,1.57455023337553,0.946308683332125
197309,6.9502,5.07673710773965,5.57351285991185,1.67777710187462,1.29384247909442
197312,6.8007,5.16919261137724,5.3969706500947,1.54895619368161,1.39649307150591
197403,7.2451,5.44090692332642,5.66640672200845,1.88354297202887,1.57200584335506
197406,7.5087,5.56398274572537,6.43553064151042,2.13316094785117,0.976922014721639
197409,7.7761,5.4718421350874,6.39503637778272,2.31732584941559,1.23481105597236
197412,7.1637,5.14178167003684,5.93796987975727,2.00644306360625,1.24226475764415
197503,7.6223,5.10324017042768,5.6388759349404,2.33021770184101,2.01302653728751
197506,7.7102,5.22955990153561,5.97188873695852,2.37606419531775,1.74633134767326
197509,8.1249,5.33229296725496,6.35047832225073,2.80849949684142,1.78297032420409
197512,7.9287,5.03615383968216,6.1518104569684,2.59789409048573,1.79488530553243
197603,7.7618,4.97120480014366,5.84678192230202,2.53103038779639,1.92516139778975
197606,7.8818,4.94479601965732,5.42308302187681,2.70035382002225,2.45906605191982
197609,7.9285,4.73157262794063,5.387151677337,2.71838501636196,2.54157497171488
197612,7.2781,4.49505695380547,5.29874889678713,2.22428007350623,1.9819974658613
197703,7.7988,4.71199014288462,5.21032019377974,2.61086182999281,2.60150690933709
197706,7.6953,4.82684371510198,5.21738457487931,2.34254462002881,2.46801396761873
197709,7.5062,5.06439492634167,5.69595302255571,2.19149832707184,1.79430792934046
197712,7.9047,5.31658366870129,5.77113911441925,2.35283323840165,2.11538751368083
197803,8.075,5.59408109041588,6.04709217455155,2.34386483513411,2.02218003262009
197806,8.3989,5.944120334655,6.46953808965918,2.42168179719107,1.87229020218371
197809,8.2046,6.15535114388067,6.56885799120254,2.07576195619204,1.59254042942356
197812,8.5258,6.49053450288324,7.09205142501418,2.28401014101613,1.30404678119413
197903,8.6224,6.47544848757027,7.61744831877794,2.29592580847605,0.968994911980059
197906,8.4191,6.486816437975,7.45971599414828,1.97013257768763,0.967059878834833
197909,8.9001,6.92799073536541,8.1413419907206,2.13494543108586,0.685371106173315
197912,9.9521,7.42861880554994,8.20461769966795,2.54060013290505,1.71603407971838
198003,11.7296,7.91336274024106,8.3771938693004,4.06495753811418,3.15609134580077
198006,10.2429,7.16130169750755,7.68392543269801,2.80640528470434,2.90280165332515
198009,11.6247,7.98746404166722,7.87619664882457,3.59516173024663,3.80870423059418
198012,11.6846,8.30348505231519,8.53360321323053,3.53524685472466,3.2629851020382
198103,12.8701,8.72450299579183,9.27953302152745,4.11781716349398,3.63911022088146
198106,12.7946,9.10177791779292,9.37802835731188,3.95586713234622,3.43260306098136
198109,14.6066,9.54640915409019,9.2975482100078,5.35757934396919,5.24020336049766
198112,13.5508,9.06889405573343,9.18148198576731,4.42918947747807,4.24081551540462
198203,13.0551,8.962490219231,8.91424112696208,4.39114890868706,4.15986459573074
198206,13.3031,8.62579074438358,8.64749586463439,4.96307959640901,4.63509842970407
198209,11.7564,7.60176697258643,8.25310012393939,4.00367204485505,3.37902812937993
198212,10.6981,7.01707893258895,7.92660016055237,3.4841762901985,2.89377416448986
198303,10.8861,6.98292916378002,7.64313163447273,3.65563196743084,3.36648571199695
198306,11.1229,7.0909040184677,7.98159246297475,3.83230699290508,3.24331788404088
198309,11.6334,7.253442993742,8.11775653733858,4.08427549107909,3.55658963620362
198312,11.9387,7.45677009610208,8.21545646033372,4.17798661221545,3.76364178808408
198403,12.4765,7.77082349059353,8.30756129124455,4.43893006460124,4.17404226281828
198406,13.6419,8.16320488182885,8.32599692200192,5.29624479102642,5.27268308561512
198409,12.0415,7.65373892886717,8.11408368385085,4.42815060851841,3.9815102215519
198412,11.8988,7.12716982433612,7.41869731167785,4.33837133865891,4.52585210996627
198503,11.9951,6.94755062648261,6.99821157785756,4.65725213408797,5.04033677546899
198506,10.8423,6.40600949226295,7.04568902645184,3.97311104693199,3.96257932301831
198509,11.0551,6.27837169384287,7.27887105840531,4.2511113624658,3.9788289981967
198512,9.7832,5.84162645028602,7.25378292349116,3.36891105046196,2.58037810809154
198603,7.7159,5.3057386288632,7.16910918124304,2.2047175636277,0.560340724899007
198606,8.009,5.12931016886747,7.0815878264089,2.61459036396626,0.976417291165098
198609,8.5584,5.01704562814226,6.70807784190509,2.90688395146381,1.87801487990832
198612,8.2168,4.95944309986787,6.70014107516274,2.61740375513444,1.50820263280705
198703,8.2562,5.06604905774115,6.94552422054427,2.60313529231507,1.28622212527221
198706,8.9818,5.42455491424667,6.96012499660116,3.06870629241168,1.97946073440599
198709,10.1218,5.78626442244545,7.064620522158,3.84913789571493,3.02544390858408
198712,9.5276,5.61153858206402,6.70949525656421,3.29291692900321,2.66006930882331
198803,9.5054,5.58285745860648,6.72219300392273,3.14486355816287,2.64339885876463
198806,9.453,5.80204209033911,6.61054001900415,3.06996994896463,2.72832090124573
198809,9.2381,6.01586378184352,6.60874216872149,2.8397098824491,2.54306032140367
198812,9.0091,6.25514569500707,6.60900687846962,2.71156631804941,2.3141442506038
198903,8.8304,6.27608283876289,6.85147190380431,2.77426351519319,1.93547231151053
198906,8.1863,5.83910881180201,6.78403336277818,2.20706500782325,1.34918866617433
198909,8.237,5.81466538176686,6.63227682831699,2.41246739420558,1.56913450928804
198912,7.9915,5.67558731205282,6.37296924076078,2.21647785471378,1.60310562156309
199003,8.5582,5.81401101150667,6.10803274064969,2.74120035190194,2.46020122968981
199006,8.4789,5.64931753276316,6.33904248625872,2.71802987028905,2.14581739027286
199009,9.3284,5.55267151090482,6.20085489502623,3.29383298491281,3.08201389380336
199012,8.7463,5.24983730114488,6.02318927461938,2.95036937220268,2.6752245944344
199103,8.6179,5.10900472405421,6.02184960733597,3.06528980789058,2.63355382352913
199106,9.0171,4.99044641784756,5.98060999385108,3.41811731568395,3.00168087009895
199109,8.4631,4.5606712680302,5.63407215027526,3.12601530416884,2.79367460326759
199112,8.1716,4.20350865622081,5.36371788666379,2.89546556976117,2.76746160261098
199203,8.4541,4.29023469850034,5.06269248639748,3.44175806787546,3.42872877944983
199206,8.8019,3.99995901155289,5.04295663223907,3.54321825488659,3.68089568353113
199209,8.5847,3.74500873823553,4.61137618010625,3.25650677931795,3.90032643564394
199212,8.0757,3.84412506621763,4.67620574219683,3.23863775998522,3.44212908900256
199303,7.7292,3.66428199484971,4.50344248039808,2.85918091398381,3.19619042077526
199306,7.1042,3.6000211466783,4.77189404870518,2.50989597012988,2.33756265923465
199309,6.5476,3.55621415325863,4.60352353960414,2.14690649489667,1.96727483174276
199312,6.938,3.77054609185681,4.56089488179208,2.31077221196875,2.37692033993284
199403,7.6937,4.23701530949883,4.62814435869018,2.72614467489944,3.03426451446862
199406,8.1187,4.63307913622187,4.81450049557507,2.87123572959946,3.24284250598115
199409,8.1798,4.91720250694126,4.85298012041944,2.79402650348166,3.34256983586111
199412,7.8814,5.1081897059395,5.22353448438777,2.68944929550069,2.57153392466684
199503,7.548,4.82135972915767,4.9493992358795,2.4512813775044,2.59392016848724
199506,6.6769,4.45484723139293,4.96779358345709,1.88623431717417,1.75188575241199
199509,6.5354,4.35204211531809,4.87803424525778,1.92949239316931,1.70603624034199
199512,6.0147,4.15091003601526,4.66410450490874,1.54553029516272,1.37018524431395
199603,6.8983,4.35007798507402,4.54872975238753,2.16628537419783,2.39070387429967
199606,7.0807,4.4814601992684,4.61007470592259,2.28226557821289,2.48588371839696
199609,7.0858,4.50479961906294,4.64708901544448,2.25371800289286,2.43170661858476
199612,6.7145,4.45746779577823,4.63093578935647,1.99990533872242,2.13402116112812
199703,7.2089,4.59276994688036,4.68163738349525,2.38082345670571,2.5564370900319
199706,6.8223,4.48403395375219,4.59513816921347,2.11195130725911,2.27132018117617
199709,6.4614,4.36671641268785,4.83077301044973,1.84824937867522,1.61290049897561
199712,5.896,4.23632115330987,4.54942228124927,1.55745502816386,1.37960863197939
199803,5.9053,4.16063525436246,4.53950160012009,1.61506691261579,1.38985388252007
199806,5.6312,4.00017555292207,4.51296363353786,1.54020268094545,1.10289445679875
199809,5.0728,3.64462631049508,4.36161824173602,1.08639250320571,0.723036690074034
199812,5.3385,3.70160103505741,4.32290764307452,1.32547888034784,1.03363119507916
199903,6.0156,3.90816162720845,4.06087781800543,1.72016160464963,1.95136974658414
199906,6.4795,4.13364818827426,4.26138810783341,1.95841790577497,2.16661570830775
199909,6.7025,4.29113234694161,4.27974439554195,1.97169042296444,2.35159182414139
199912,7.0483,4.5495587025677,4.31485095532034,2.11824326803764,2.60870880961904
200003,6.1064,4.55212630660262,4.60515746368633,1.59575532446988,1.43580803521814
200006,6.1963,4.46519070872821,4.61415662601512,1.68090236040286,1.48393163362648
200009,6.1905,4.22485604595863,4.56482122104206,1.74227461549641,1.54338265719927
200012,5.6414,3.78697343928319,4.51635140165053,1.55554714676486,1.0986589726656
200103,5.8736,3.44850352435783,4.2364898552554,1.82415754034157,1.63418478009213
200106,6.3342,3.31323540654124,4.10321934414207,2.36720288559257,2.21689892527519
200109,6.0757,2.90986554825516,3.87510906149665,2.13825085723017,2.2084394420258
200112,6.4637,2.96890497292367,3.86138011793702,2.53076956590644,2.65018003090776
200203,6.651,3.03692580645694,3.8827504211814,2.77373550748264,2.75893055348507
200206,6.2958,2.70616554141792,3.72271396055316,2.54508468600928,2.60860426792965
200209,5.4605,2.23252972531462,3.56385676279741,1.90067920570776,1.87093081202445
200212,5.6516,2.13942915245972,3.37675394158404,2.12712687120378,2.25517965635277
200303,5.5927,2.09298939927082,3.31857570492609,2.1449512748752,2.27863451041558
200306,5.1915,1.99459534241208,3.35741613049196,1.86771260696734,1.81218971160894
200309,5.7006,2.10009062050154,3.2503071629762,2.19528723764559,2.44110223536026
200312,5.8623,2.25052181454538,3.26325680715899,2.31883689795823,2.60709065520999
200403,5.4537,2.27531799142404,3.19908884258875,1.88043475837619,2.24791446027224
200406,5.9275,2.65206192315721,3.25222155424623,2.24146165417337,2.651194754468
200409,5.3323,2.70384507799439,3.330119196078,1.68896649891073,1.98342878031001
200412,5.1893,2.90294584713542,3.40348576335473,1.52387829693482,1.75313329032335
200503,5.0633,3.14559157226775,3.52617809757408,1.46834134537577,1.51340715626635
200506,4.3259,3.13933123655114,3.6808468706171,0.880057313376695,0.622183787662859
200509,4.6469,3.34780744227202,3.69563007854914,1.05891306606063,0.894445624380131
200512,4.5898,3.47590577703375,3.7934983137993,0.969506044651668,0.769990136107927
200603,5.0741,3.66862792948344,3.81097467937217,1.24882234700039,1.24431873655701
200606,5.3338,3.77045623228046,3.84489827120058,1.39160032241978,1.43407393975707
200609,4.8455,3.63363373267063,3.8741420386393,1.034728254003,0.926190259354832
200612,4.8882,3.60780609720407,3.96827304867372,1.13576752681444,0.893149699033725
200703,4.9741,3.51678288882518,3.73457084295907,1.19586522490065,1.1974556342049
200706,5.2924,3.4602741791232,3.73679267314111,1.60196633853277,1.51509123155049
200709,5.2508,3.08149410356469,3.70361927537123,1.60506755462938,1.43147688031762
200712,5.1396,2.60407885252294,3.39732997483501,1.63550126802634,1.57014841395128
200803,5.207,2.22755762059458,3.04506872409961,1.59073192603852,2.02562682374115
200806,5.1341,2.33232189261188,3.16994828397595,1.92262038873368,1.91133982385057
200809,5.5029,2.09807945486382,2.98928153056308,2.07298071570884,2.24711846881992
200812,4.2014,1.60076566698402,2.99388847075463,1.2132042006481,0.959794686160708
200903,4.564,1.56493561495481,2.9775848035012,1.57425130283774,1.41090595619088
200906,5.4584,1.73849252205092,2.99435839059502,2.22390786206267,2.30413027749428
200909,5.0913,1.6950259192656,2.87535432278037,1.97052039594115,2.07360961812373
200912,5.6824,1.77830305852065,2.5795154858023,2.36616766004987,2.96703539807807
201003,5.634,1.76613635891161,2.48618245533169,2.31890753850783,3.04563990315053
201006,4.6432,1.56267969723071,2.63046002787801,1.66010654665681,1.90044264809069
201009,4.1435,1.38576454651428,2.60038605987279,1.35163331959502,1.41214097555358
201012,5.0767,1.52078697954377,2.33719186477013,2.01367451725693,2.64951135530843
201103,5.141,1.60184579219929,2.40788361208595,2.09934050996994,2.69548546424001
201106,5.1083,1.54649820468083,2.45288073279237,1.87330823705318,2.50255820020727
201109,3.1693,1.363391296852,2.7051556763677,0.721961634576209,0.388777712594076
201112,3.0908,1.32592710334093,2.61511680019529,0.68181763728206,0.404954908016707
201203,3.6064,1.40813658157368,2.45352406360474,0.965153635214371,1.07455181182973
201206,2.6442,1.33585696063997,2.70053152235822,0.426647732722449,-0.0633373637025944
201209,2.6998,1.28049106627504,2.64579557061558,0.454744046435342,0.0397609962138216
201212,2.8735,1.25768367054121,2.45593137913363,0.606408380024341,0.391523773209769
201303,3.053,1.1925449960994,2.29833281635332,0.785348907845303,0.734299032238746
201306,3.8654,1.2652055176636,2.19859949658874,1.38157501462058,1.61178020186828
201309,4.1404,1.23811684498918,2.12284591904513,1.53780639021793,1.91998657641161
201312,4.6567,1.30987469051698,2.03316508537132,1.86079053220896,2.49665812834469
201403,3.956,1.31417666120607,2.14095893556305,1.52645812071238,1.8059053572623
201406,3.6218,1.31094560109389,2.19076350661832,1.30934828965333,1.43622509761047
201409,3.3996,1.40494832316525,2.26568511172441,1.19934480420414,1.2002252801515
201412,2.7952,1.4031372212424,2.40543033721806,0.820327692513679,0.442087000043488
201503,2.6272,1.33165687140869,2.40485812884188,0.674378172514234,0.239312475692276
201506,3.2491,1.41069897125886,2.25771578812854,1.02487080596377,0.984018010402151
201509,2.8537,1.41618623472282,2.33493683597736,0.711708636250927,0.498058291115839
201512,2.9589,1.52470518031227,2.27179006271592,0.834658348043574,0.651623169900425
201603,2.4695,1.4014165275984,2.33487717844309,0.443395332912573,0.0801533909829726
201606,2.0316,1.33892120133516,2.37721833514795,0.184665202847173,-0.372678059781377
201609,2.1056,1.39992871448793,2.35218044259262,0.249102731733966,-0.259721527639498
201612,3.1146,1.64767790428816,2.20438707264857,0.875037208603883,0.895698562078413
201703,2.9718,1.73625840636028,2.33526183065544,0.720570994280032,0.648181824629078
201706,2.8106,1.78443836256741,2.40207105652591,0.554004414309631,0.390829699036379
201709,2.7886,1.86860033762051,2.30062635719889,0.48065456189207,0.47270925147912
201712,2.6728,2.00973481052641,2.39931526824015,0.402442815930675,0.252899754689452
201803,2.9189,2.14467600324596,2.42697150530105,0.578489677925544,0.486393316303876
