year,r1,rstar.r1,r10,rstar.r10
1954,1.06,2.2833575866422,NA,NA
1955,2.21,2.30638133169371,NA,NA
1956,2.73,2.31300828889251,NA,NA
1957,2.54,2.3019445813741,NA,NA
1958,2.39,2.29155903087045,NA,NA
1959,4.12,2.32897461991247,NA,NA
1960,2.25,2.27142425861553,NA,NA
1961,2.11,2.25803755980633,NA,NA
1962,1.96,2.24528244652144,NA,NA
1963,2.77,2.25894622024945,NA,NA
1964,2.84,2.25141101524348,NA,NA
1965,3.09,2.24936688430903,NA,NA
1966,2.96,2.23661397026671,NA,NA
1967,2.91,2.22407877761468,NA,NA
1968,3.34,2.22222446751708,3.5146,3.0772404500537
1969,4.75,2.24421919407623,4.9713,3.1227653980819
1970,1.21,2.13477136838884,3.2924,3.06138178358303
1971,1.53,2.1252387973896,2.4363,3.02498667444821
1972,2.01,2.12205347813159,2.4427,3.0217074124939
1973,2.02,2.10750820549014,2.8227,3.03778367107585
1974,0.19,2.04700231948178,2.3578,3.03376585409986
1975,0.69,2.05164952747798,2.8592,3.06730857940884
1976,-0.38,2.0196558375288,2.3712,3.07641804274834
1977,0.72,2.04879572291338,2.8396,3.12579297250019
1978,3.05,2.1120068530466,3.35083333333333,3.18198650533467
1979,2.43,2.09932181108582,3.6733,3.23534783509986
1980,4.67,2.1582180871713,5.7875,3.34144277807286
1981,5.51,2.17504671626921,6.39,3.3844893275065
1982,3.96,2.1269747475559,4.340001,3.32614656370793
1983,4.86,2.13496681359982,5.58,3.36274353955361
1984,4.9,2.11847873524541,6.2,3.36665503147738
1985,3.86,2.06742582230149,4.04868952459016,3.26767531101601
1986,2.24,1.99572466565974,2.40478294565217,3.18106129900002
1987,3.04,1.98519669885173,4.25,3.21038849328851
1988,4.27,1.98666484352332,4.84315217391304,3.19721736779441
1989,3.71,1.93782134838334,3.93426229508197,3.1302916116223
1990,3.27,1.88740515627088,4.1816393442623,3.09407539598563
1991,0.99,1.78800990659801,3.49,3.02504372869233
1992,0.57,1.73717123722353,3.57,2.97846636659248
1993,0.73,1.70408404788976,2.72,2.90470402258592
1994,3.71,1.74273807680527,4.71,2.91889152654087
1995,2.47,1.67297994119937,3.11,2.81651436966764
1996,2.55,1.63613414001828,3.7,2.77715116582309
1997,3.07,1.60663852267234,3.56,2.71157114932067
1998,2.33,1.54091466504519,2.55,2.61586357420142
1999,3.5,1.52124874019378,4.18,2.60214526462687
2000,3.14,1.45936615281593,3.14,2.49508407552659
2001,0.13,1.32496422219455,2.94,2.41086409447513
2002,-0.65,1.24974065680873,1.98,2.30097833527229
2003,-0.73,1.19728021679659,2.17,2.22810485070153
2004,0.76,1.18848697116048,2.13,2.1501910011423
2005,2.51,1.18753124969141,2.37,2.08136156548722
2006,2.23,1.1328665706697,2.46,2.00521648634237
2007,0.5,1.03768223275539,2,1.90918447324811
2008,-0.45,0.965464807021979,0.22,1.77005221760304
2009,-1.45,0.892537800618077,1.49,1.73721606611173
2010,-1.26,0.854592320489689,1.29,1.6582336648025
2011,-1.86,0.80118284490819,-0.17,1.54116018243738
2012,-1.73,0.771380759859023,-0.38,1.47528440733128
2013,-1.79,0.742429126696028,0.9,1.46787994657834
2014,-1.53,0.727329247061604,0.21,1.40542395129528
2015,-1.32,0.716044361672848,0.34,1.37361223334892
2016,-1.41,0.698466799311342,0.49,1.34828479227916
2017,-0.52,0.711204537556267,0.4,1.32028041739384
2018,0.51,0.729346631924897,0.83,1.31077690374107
2019,-0.46,0.697463788321376,-0.14,1.26108586947992
